Latitude,Longitude,Altitude(m)
35.641323,-82.554925,692.0906639099121
35.641304,-82.554907,694.3171043395996
35.641346,-82.554976,691.6021385192871
35.641345,-82.555034,690.3238182067871
35.641335,-82.555100,687.4134178161621
35.641326,-82.555162,686.9720115661621
35.641306,-82.555222,685.9964256286621
35.641291,-82.555277,685.0063133239746
35.641259,-82.555332,684.2493553161621
35.641233,-82.555379,682.8057518005371
35.641215,-82.555439,683.2127342224121
35.641198,-82.555495,683.9362449645996
35.641178,-82.555547,684.3875389099121
35.641160,-82.555601,684.6927146911621
35.641137,-82.555663,685.4364891052246
35.641118,-82.555723,685.6099510192871
35.641096,-82.555788,685.4407615661621
35.641081,-82.555856,685.5791893005371
35.641065,-82.555920,685.1267967224121
35.641050,-82.555972,684.9251365661621
35.641029,-82.556039,684.2664451599121
35.641014,-82.556093,684.1943016052246
35.640999,-82.556149,683.5754051208496
35.640979,-82.556199,683.2315330505371
35.640960,-82.556252,682.9571189880371
35.640945,-82.556307,682.8460350036621
35.640929,-82.556361,682.9407615661621
35.640916,-82.556414,683.1060447692871
35.640902,-82.556485,682.8689842224121
35.640897,-82.556543,682.3794822692871
35.640905,-82.556611,682.5147361755371
35.640903,-82.556685,682.1250877380371
35.640903,-82.556744,681.9247703552246
35.640898,-82.556814,681.9954490661621
35.640892,-82.556869,681.4732322692871
35.640887,-82.556928,681.0461082458496
35.640887,-82.556989,680.8354148864746
35.640886,-82.557049,681.0646629333496
35.640888,-82.557105,680.2607078552246
35.640901,-82.557173,678.3572654724121
35.640898,-82.557247,678.9185447692871
35.640894,-82.557304,676.9034080505371
35.640900,-82.557367,675.3287010192871
35.640902,-82.557440,674.9462547302246
35.640894,-82.557511,675.2305564880371
35.640895,-82.557580,674.8330955505371
35.640850,-82.557602,673.7173728942871
35.640801,-82.557604,673.2814598083496
35.640772,-82.557663,672.3251609802246
35.640770,-82.557725,668.6385154724121
35.640735,-82.557768,666.6056785583496
35.640694,-82.557815,666.1678123474121
35.640675,-82.557874,665.6322898864746
35.640662,-82.557933,665.3326072692871
35.640660,-82.557997,664.8662986755371
35.640684,-82.558057,661.9037742614746
35.640684,-82.558113,661.5425682067871
35.640666,-82.558176,661.8523826599121
35.640647,-82.558231,661.2054100036621
35.640643,-82.558169,660.7348289489746
35.640672,-82.558114,660.6227684020996
35.640665,-82.558184,660.8639793395996
35.640716,-82.558183,659.0845603942871
35.640725,-82.558246,659.1221580505371
35.640690,-82.558289,658.6703758239746
35.640660,-82.558242,659.5658836364746
35.640614,-82.558281,659.6447410583496
35.640565,-82.558311,659.3164939880371
35.640507,-82.558333,659.2653465270996
35.640454,-82.558345,658.2671775817871
35.640400,-82.558347,657.9059715270996
35.640338,-82.558348,657.7979393005371
