Tour.Code,Tour.Description,Year,Tourn..,Player..,Course..,Permanent.Tournament..,Player.First.Name,Player.Last.Name,Round,Tournament.Name,Course.Name,Hole,Hole.Score,Par.Value,Yardage,Shot,Shot.Type.S.P.D.,X..of.Strokes,From.Location.Scorer.,From.Location.Enhanced.,To.Location.Scorer.,To.Location.Enhanced.,Distance,Distance.to.Pin,In.the.Hole.Flag,Around.the.Green.Flag,X1st.Putt.Flag,Distance.to.Hole.after.the.Shot,Time,Lie,Elevation,Slope,Z.Coordinate,Distance.from.Center,Distance.from.Edge,Date,Left.Right,Strokes.Gained.Baseline,Strokes.Gained.Category,Recovery.Shot,x,y,Player.Name,bad_hole
R,PGA TOUR,2017,400,1116,819,518,Michael,Bradley,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,1,S,1,Tee Box,,Fairway,Right Fairway,10519,19116,N,N,N,8544,1827,Good,With,Level,691.44,97,337,07/20/2017,R,0.158,Off the Tee,No,6522.721,10358.294,"Bradley, Michael",0
R,PGA TOUR,2017,400,1116,819,518,Michael,Bradley,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,2,S,1,Fairway,Right Fairway,Green,Unmapped,7901,8544,N,N,N,1035,1835,Good,With,Level,732.23,844,89,07/20/2017,R,0.083,Approach the Green,No,7146.977,10563.56,"Bradley, Michael",0
R,PGA TOUR,2017,400,1116,819,518,Michael,Bradley,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,3,S,1,Green,Unmapped,Green,Unmapped,984,1035,N,N,Y,51,1841,Good,With,Level,735.56,40,651,07/20/2017,L,0.18,Putting,No,7171.111,10641.877,"Bradley, Michael",0
R,PGA TOUR,2017,400,1116,819,518,Michael,Bradley,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,4,S,1,Green,Unmapped,,,51,51,Y,N,N,0,1844,Good,With,Level,0,0,0,07/20/2017,,0.162,Putting,No,0,0,"Bradley, Michael",0
R,PGA TOUR,2017,400,1388,819,518,Robert,Gamez,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,1,S,1,Tee Box,,Tree Outline,Unmapped,9787,19116,N,N,N,8866,1839,Good,With,Level,690.185,1153,691,07/20/2017,R,-0.164,Off the Tee,No,6539.07,10268.438,"Gamez, Robert",0
R,PGA TOUR,2017,400,1388,819,518,Robert,Gamez,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,2,S,1,Native Area,Unmapped,Fairway,Left Fairway,7483,8866,N,Y,N,1385,1843,N/A,With,Level,728.817,364,187,07/20/2017,,0.175,Approach the Green,No,7076.335,10582.555,"Gamez, Robert",0
R,PGA TOUR,2017,400,1388,819,518,Robert,Gamez,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,3,S,1,Fairway,Left Fairway,Green,Unmapped,1434,1385,N,N,N,203,1847,Good,With,Level,735.787,186,490,07/20/2017,L,-0.255,Around the Green,No,7184.291,10633.382,"Gamez, Robert",0
R,PGA TOUR,2017,400,1388,819,518,Robert,Gamez,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,4,S,1,Green,Unmapped,Green,Unmapped,201,203,N,N,Y,3,1853,Good,With,Level,735.69,5,638,07/20/2017,L,-0.173,Putting,No,7172.83,10645.551,"Gamez, Robert",0
R,PGA TOUR,2017,400,1388,819,518,Robert,Gamez,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,5,S,1,Green,Unmapped,,,3,3,Y,N,N,0,1853,Good,With,Level,0,0,0,07/20/2017,,0,Putting,No,0,0,"Gamez, Robert",0
R,PGA TOUR,2017,400,1577,819,518,Lee,Janzen,1,Barbasol Championship,RTJ Trail (Grand National),13,6,5,536,1,S,1,Tee Box,,Tree Outline,Unmapped,9627,19116,N,N,N,9067,1052,Good,With,Level,691.25,1081,581,07/20/2017,R,-0.71,Off the Tee,No,6520.861,10266.226,"Janzen, Lee",0
R,PGA TOUR,2017,400,1577,819,518,Lee,Janzen,1,Barbasol Championship,RTJ Trail (Grand National),13,6,5,536,2,S,1,Other,Unmapped,Primary Rough,Left Rough,2297,9067,N,N,N,7847,1057,N/A,With,Level,696.075,819,238,07/20/2017,L,-0.195,Approach the Green,Yes,6548.17,10455.638,"Janzen, Lee",0
R,PGA TOUR,2017,400,1577,819,518,Lee,Janzen,1,Barbasol Championship,RTJ Trail (Grand National),13,6,5,536,3,S,1,Primary Rough,Left Rough,Fairway,Right Fairway,6975,7847,N,Y,N,1245,1100,N/A,With,Level,729.344,818,142,07/20/2017,,-0.063,Approach the Green,No,7119.543,10556.911,"Janzen, Lee",0
R,PGA TOUR,2017,400,1577,819,518,Lee,Janzen,1,Barbasol Championship,RTJ Trail (Grand National),13,6,5,536,4,S,1,Fairway,Right Fairway,Green,Unmapped,1144,1245,N,N,N,234,1104,Good,With,Level,735.567,232,522,07/20/2017,L,-0.315,Around the Green,No,7182.057,10628.607,"Janzen, Lee",0
R,PGA TOUR,2017,400,1577,819,518,Lee,Janzen,1,Barbasol Championship,RTJ Trail (Grand National),13,6,5,536,5,S,1,Green,Unmapped,Green,Unmapped,267,234,N,N,Y,38,1107,Good,With,Level,735.827,33,638,07/20/2017,L,-0.194,Putting,No,7173.603,10649.22,"Janzen, Lee",0
R,PGA TOUR,2017,400,1577,819,518,Lee,Janzen,1,Barbasol Championship,RTJ Trail (Grand National),13,6,5,536,6,S,1,Green,Unmapped,,,38,38,Y,N,N,0,1107,Good,With,Level,0,0,0,07/20/2017,,0.06,Putting,No,0,0,"Janzen, Lee",0
R,PGA TOUR,2017,400,1706,819,518,Davis,Love III,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,1,S,1,Tee Box,,Fairway,Left Fairway,10686,19116,N,N,N,8504,850,Good,With,Level,691.939,150,334,07/20/2017,L,0.164,Off the Tee,No,6517.632,10378.851,"Love III, Davis",0
R,PGA TOUR,2017,400,1706,819,518,Davis,Love III,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,2,S,1,Fairway,Left Fairway,Green,Unmapped,8646,8504,N,N,N,422,856,Good,With,Level,735.865,392,406,07/20/2017,L,0.402,Approach the Green,No,7195.506,10618.985,"Love III, Davis",0
R,PGA TOUR,2017,400,1706,819,518,Davis,Love III,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,3,S,1,Green,Unmapped,Green,Unmapped,415,422,N,N,Y,31,902,Good,With,Level,735.616,21,652,07/20/2017,L,-0.012,Putting,No,7171.248,10643.634,"Love III, Davis",0
R,PGA TOUR,2017,400,1706,819,518,Davis,Love III,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,4,S,1,Green,Unmapped,,,31,31,Y,N,N,0,905,Good,With,Level,0,0,0,07/20/2017,,0.029,Putting,No,0,0,"Love III, Davis",0
R,PGA TOUR,2017,400,1761,819,518,Len,Mattiace,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,1,S,1,Tee Box,,Tree Outline,Unmapped,9150,19116,N,N,N,9335,1410,Good,With,Level,689.683,1903,1337,07/20/2017,R,-0.214,Off the Tee,No,6537.957,10198.32,"Mattiace, Len",0
R,PGA TOUR,2017,400,1761,819,518,Len,Mattiace,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,2,S,1,Native Area,Unmapped,Fairway,Left Fairway,4402,9335,N,N,N,5648,1417,N/A,With,Level,708.879,557,148,07/20/2017,L,-0.152,Approach the Green,No,6721.131,10515.54,"Mattiace, Len",0
R,PGA TOUR,2017,400,1761,819,518,Len,Mattiace,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,3,S,1,Fairway,Left Fairway,Green,Unmapped,6091,5648,N,N,N,694,1422,Good,Below Ball,Level,736.04,572,173,07/20/2017,R,-0.248,Approach the Green,No,7218.966,10610.924,"Mattiace, Len",0
R,PGA TOUR,2017,400,1761,819,518,Len,Mattiace,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,4,S,1,Green,Unmapped,Green,Unmapped,682,694,N,N,Y,67,1429,Good,With,Level,735.527,52,656,07/20/2017,L,-0.109,Putting,No,7170.57,10640.653,"Mattiace, Len",0
R,PGA TOUR,2017,400,1761,819,518,Len,Mattiace,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,5,S,1,Green,Unmapped,,,67,67,Y,N,N,0,1431,Good,With,Level,0,0,0,07/20/2017,,0.306,Putting,No,0,0,"Mattiace, Len",0
R,PGA TOUR,2017,400,2106,819,518,Chris,Smith,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,1,S,1,Tee Box,,Primary Rough,Right Rough,9695,19116,N,N,N,9021,812,Good,With,Level,690.997,1007,522,07/20/2017,R,-0.704,Off the Tee,No,6521.212,10273.302,"Smith, Chris",0
R,PGA TOUR,2017,400,2106,819,518,Chris,Smith,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,2,S,1,Primary Rough,Right Rough,Fairway,Left Fairway,3262,9021,N,N,N,6107,818,N/A,With,Level,702.682,392,298,07/20/2017,L,0.278,Approach the Green,Yes,6690.734,10485.429,"Smith, Chris",0
R,PGA TOUR,2017,400,2106,819,518,Chris,Smith,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,3,S,1,Fairway,Left Fairway,Green,Unmapped,6170,6107,N,N,N,274,822,Good,Below Ball,Uphill,735.631,270,503,07/20/2017,L,0.1,Approach the Green,No,7184.189,10626.037,"Smith, Chris",0
R,PGA TOUR,2017,400,2106,819,518,Chris,Smith,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,4,S,1,Green,Unmapped,Green,Unmapped,287,274,N,N,Y,21,826,Good,With,Level,735.723,6,662,07/20/2017,L,-0.097,Putting,No,7170.79,10645.884,"Smith, Chris",0
R,PGA TOUR,2017,400,2106,819,518,Chris,Smith,1,Barbasol Championship,RTJ Trail (Grand National),13,5,5,536,5,S,1,Green,Unmapped,,,21,21,Y,N,N,0,826,Good,With,Level,0,0,0,07/20/2017,,0.006,Putting,No,0,0,"Smith, Chris",0
R,PGA TOUR,2017,400,2246,819,518,Duffy,Waldorf,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,1,S,1,Tee Box,,Fairway,Right Fairway,10406,19116,N,N,N,8644,1315,Good,With,Level,691.333,147,289,07/20/2017,R,0.139,Off the Tee,No,6516.972,10350.842,"Waldorf, Duffy",0
R,PGA TOUR,2017,400,2246,819,518,Duffy,Waldorf,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,2,S,1,Fairway,Right Fairway,Primary Rough,Left Rough,8510,8644,N,Y,N,912,1322,Good,With,Level,733.543,870,1251,07/20/2017,,-0.171,Approach the Green,No,7128.262,10707.8,"Waldorf, Duffy",0
R,PGA TOUR,2017,400,2246,819,518,Duffy,Waldorf,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,3,S,1,Primary Rough,Left Rough,Green,Unmapped,1012,912,N,N,N,139,1327,Good,With,Level,735.923,55,500,07/20/2017,L,-0.072,Around the Green,No,7184.436,10644.959,"Waldorf, Duffy",0
R,PGA TOUR,2017,400,2246,819,518,Duffy,Waldorf,1,Barbasol Championship,RTJ Trail (Grand National),13,4,5,536,4,S,1,Green,Unmapped,,,139,139,Y,N,Y,0,1330,Good,With,Level,0,0,0,07/20/2017,,0.687,Putting,No,0,0,"Waldorf, Duffy",0
